Company,Records_Found,SOS_ID,Date_Formed,Status,Business_Type
So Good Pupusas LLC,1,1463073,8/11/2015,Current - Active,Limited Liability Company
Solar Head of State,No results found,,,,
SolOrganic Inc,1,1155049,6/17/2010,Dissolved,Business Corporation
Somos Internet,No results found,,,,
Sono Health and Wellness LLC,1,1351694,12/11/2013,Admin. Dissolved,Limited Liability Company
SonoVascular Inc,1,1612826,7/26/2017,Current - Active,Business Corporation
SonoVol Inc,2,1425752,2/3/2015,Withdrawn by Merger,Limited Liability Company
Sourceio,No results found,,,,
Southern Season Inc,15,0137792,10/15/1975,Admin. Dissolved,Business Corporation
Southern Season Share the Food Foundation Inc,1,1252583,4/2/2012,Current - Active,Non - Profit Corporation
SOVE Inc,248,2005417,7/2/2020,Current - Active,Business Corporation
Sp0t,1,1847385,5/23/2019,Dissolved,Limited Liability Company
"Spark Therapeutics, Inc.",No results found,,,,
SpectraForce Technologies Inc,2,0557273,7/11/2000,Current - Active,Business Corporation
Speedi Delivery,1,2652485,6/19/2023,Current - Active,Limited Liability Company
Spiro Collective,No results found,,,,
Spirovation,1,1327634,7/12/2013,Current - Active,Non - Profit Corporation
SplitTime,No results found,,,,
Sports Simulations,1,1998891,6/22/2020,Admin. Dissolved,Limited Liability Company
Sprava Solutions,No results found,,,,
Spyryx Biosciences Inc,1,1440862,4/21/2015,Withdrawn,Business Corporation
Sqord Inc,1,1299550,1/31/2013,Multiple,Business Corporation
"Startup High Country, LLC",1,1499050,2/19/2016,Admin. Dissolved,Limited Liability Company
STAT Apps LLC,1,1754433,9/25/2018,Admin. Dissolved,Limited Liability Company
StatQuest,1,2080670,11/10/2020,Current - Active,Business Corporation
"Steel Heritage Bioscience, Inc.",No results found,,,,
Sticker Farm LLC,1,1191129,3/1/2011,Admin. Dissolved,Limited Liability Company
Stone Timber River LLC,1,0408108,10/10/1996,Converted,Limited Liability Company
Stop Soldier Suicide,2,1473118,10/2/2015,Dissolved,Non - Profit Corporation
StraightCast MEDIA,No results found,,,,
Strategem LLC,2,0262886,1/29/1990,Multiple,Business Corporation
"Stratus TMS, Inc",2,1214501,7/27/2011,Converted,Limited Liability Company
Strauto,2,2240876,7/28/2021,Revoked,Business Corporation
StrideBio Inc,3,1569615,1/27/2017,Withdrawn by Merger,Limited Liability Company
Strip Straps,No results found,,,,
SUCCEED Inc,13,0827720,2/13/2006,Dissolved,Limited Liability Partnership
SunBite Ltd,No results found,,,,
Suoro Studios,No results found,,,,
SuperCat Solutions LLC,1,1181166,1/1/2011,Current - Active,Limited Liability Company
Surge4 LLC,1,1375277,4/24/2014,Admin. Dissolved,Limited Liability Company
"Surround Medical Systems, Inc.",2,1503487,3/9/2016,Current - Active,Business Corporation
SWAP Socks,No results found,,,,
Sweeps LLC,20,0754179,11/29/2004,Current - Active,Limited Liability Company
Sweetie Pie Organics,No results found,,,,
SWIR Vision Systems,1,1680758,3/20/2018,Current - Active,Business Corporation
Switchback Gear Collective,1,2456318,7/21/2022,Current - Active,Non - Profit Corporation
Syllabye,No results found,,,,
SyllaSync Inc,No results found,,,,
Symberix Inc,1,1336121,9/3/2013,Current - Active,Business Corporation
Symbology Clothing LLC,1,1275383,8/27/2012,Converted,Limited Liability Company
Symcore Solutions LLC,1,1765710,10/29/2018,Admin. Dissolved,Limited Liability Company
SyncHear Inc,1,1251554,3/27/2012,Admin. Dissolved,Business Corporation
SynchroHealth LLC,No results found,,,,
Synereca Pharmaceuticals Inc,2,1106009,7/9/2009,Converted,Business Corporation
Syzygy Optics LLC,1,1130777,9/20/2023,Current - Active,Business Corporation
TabSprint Inc,1,1310448,4/3/2013,Dissolved,Business Corporation
Take10,2,2796416,2/26/2024,Current - Active,Limited Liability Company
Takeout Central,1,0888252,12/18/2006,Current - Active,Limited Liability Company
Tap the Triangle LLC,1,1556133,11/21/2016,Dissolved,Limited Liability Company
Targeted Reading Intervention Inc,1,1264566,6/14/2012,Dissolved,Business Corporation
Target RWE,No results found,,,,
Tasti Inc,15,1610973,7/19/2017,Current - Active,Business Corporation
Teach Tech L3C,1,1220996,9/13/2011,Current - Active,L3C
Tech Team NC,No results found,,,,
Tempo Brew,1,2015880,7/23/2020,Active - Not Current,Limited Liability Company
Tenaz Capital Co LLC,No results found,,,,
TentED,No results found,,,,
TeraStructure,1,1245258,2/21/2012,Multiple,Business Corporation
Terra Dotta LLC,1,0611749,11/30/2001,Current - Active,Limited Liability Company
TerraHub LLC,1,1334694,8/23/2013,Admin. Dissolved,Limited Liability Company
Terraoak Inc,No results found,,,,
Tethis Inc,2,1276718,9/5/2012,Admin. Dissolved,Business Corporation
Textile-Based Delivery Inc,2,1526273,6/23/2016,Withdrawn by Merger,Business Corporation
Textile Solutions LLC,5,0501417,7/28/1999,Admin. Dissolved,Business Corporation
TFND LLC,1,1343071,10/15/2013,Dissolved,Limited Liability Company
The ABC's of School Re-entry,No results found,,,,
The British Taxi,2,,,Reserved Name,Limited Liability Company
The Campus Cause LLC,1,1534478,8/2/2016,Admin. Dissolved,Limited Liability Company
The Drive-In LLC,512,0602183,8/27/2001,Dissolved,Limited Liability Company
Thelink@unc Inc,1,1731287,7/25/2018,Dissolved,Business Corporation
Themis,11,2404589,4/29/2022,Dissolved,Limited Liability Company
The Port Group,No results found,,,,
TheraLogics Inc,1,0731426,6/22/2004,Multiple,Business Corporation
The Street Brand,1,2099755,12/21/2020,Dissolved,Limited Liability Company
The SunDAO Network,No results found,,,,
The Unfiltered Project (TUP),No results found,,,,
This and That Games,1,1438476,4/8/2015,Current - Active,Limited Liability Company
ThreadO Inc,4,1262115,5/30/2012,Dissolved,Business Corporation
Threads of HOPE NC Inc,1,1065894,10/2/2008,Current - Active,Non - Profit Corporation
Three Count Records,1,2475334,8/24/2022,Current - Active,Limited Liability Company
Three Ships Media,2,2074885,10/30/2020,Converted,Limited Liability Company
Thrill City LLC,1,1261657,5/25/2012,Dissolved,Limited Liability Company
Thriving on the Spectrum,1,1878485,8/9/2019,Current - Active,Limited Liability Company
Throne LLC,34,0416399,1/23/1997,Admin. Dissolved,Business Corporation
Tiba Health LLC,1,1501134,2/29/2016,Dissolved,Limited Liability Company
TodayTix Inc,No results found,,,,
Tom & Jenny's,No results found,,,,
TopCourt Inc,1,1823824,3/27/2019,Current - Active,Business Corporation
Torque Bio LLC,1,2494465,9/27/2022,Current - Active,Business Corporation
Traditional Kitchens,No results found,,,,
Trafficlight Inc,2,1884203,8/23/2019,Revoked,Business Corporation
TransChromix Inc,1,2663375,7/6/2023,Current - Active,Limited Liability Company
Transitions Foundation-Nc Inc.,1,1616914,8/14/2017,Current - Active,Non - Profit Corporation
Transplant Solutions LLC,1,0551336,5/26/2000,Dissolved,Limited Liability Company
TregTherapeutics Inc.,1,1614326,8/1/2017,Current - Active,Business Corporation
Triangle Biotechnology Inc,1,1581269,3/15/2017,Current - Active,Business Corporation
Triangle Precision Diagnostics,1,1372935,4/10/2014,Dissolved,Business Corporation
Tribalintel Inc,1,1454299,6/24/2015,Multiple,Business Corporation
Trill Financial Inc,1,1478607,10/30/2015,Revoked,Business Corporation
Trinket,10,0743258,9/13/2004,Multiple,Business Corporation
TriVent,6,2642458,6/1/2023,Active - Not Current,Limited Liability Company
"TruLab, Inc.",4,1962845,3/13/2020,Current - Active,Business Corporation
Tsanai Tingz LLC,1,2022947,8/6/2020,Admin. Dissolved,Limited Liability Company
Turnsmith Inc,1,1449506,6/3/2015,Current - Active,Limited Liability Company
Twice,50,0809195,10/21/2005,Admin. Dissolved,Limited Liability Company
Ty's Treats,1,2730973,10/27/2023,Current - Active,Limited Liability Company
UConnection Inc,2,1143811,4/13/2010,Multiple,Business Corporation
UltraLinQ Healthcare Solutions Inc,1,1129030,12/21/2009,Current - Active,Business Corporation
UltraLoop,1,2539209,12/13/2022,Revoked,Business Corporation
Umami Meats PTD LTD,No results found,,,,
UNCUT Inc,10,1870615,7/22/2019,Current - Active,Non - Profit Corporation
Undercover Colors,1,1373614,4/15/2014,Admin. Dissolved,Business Corporation
Underdog.io,No results found,,,,
Un Futuro Para Ti Foundation,1,0796578,8/8/2005,Current - Active,Non - Profit Corporation
United Solar Initiative Inc,1,1351050,12/6/2013,Current - Active,Non - Profit Corporation
Upstream Works Collaborative,No results found,,,,
USeek Connection Solutions Incorporated,1,1783515,12/18/2018,Dissolved,Business Corporation
VADE Group Inc,1,1726000,7/12/2018,Revoked,Business Corporation
Valor Rx LLC,1,1601919,6/13/2017,Active - Not Current,Limited Liability Company
Valor Water Analytics,No results found,,,,
Vamos,4,2914156,9/16/2024,Current - Active,Limited Liability Company
VanDough's Cookie Kitchen LLC,1,1353269,12/19/2013,Dissolved,Limited Liability Company
Vascular Pharmaceuticals Inc,1,0822320,10/5/2010,Withdrawn,Business Corporation
Vast Therapeutics,1,1594969,5/12/2017,Current - Active,Business Corporation
"VecTriLateral, LLC",1,1623183,9/11/2017,Current - Active,Limited Liability Company
Veeto LLC,1,1588678,4/18/2017,Admin. Dissolved,Limited Liability Company
veoSport LLC,1,0770804,3/8/2005,Admin. Dissolved,Limited Liability Company
VERINETICS,1,1205458,5/25/2011,Current - Active,Business Corporation
Veteran Capital LLC,2,1701158,5/10/2018,Active - Not Current,Limited Liability Company
Victor's Envision LLC,No results found,,,,
VINCI LLC,13,0156580,4/2/1982,Multiple,Business Corporation
Vintage Blue Collective LLC,1,1751568,9/18/2018,Admin. Dissolved,Limited Liability Company
Viralgen VC,No results found,,,,
Virnika,No results found,,,,
Virtual Kinetics Corp,1,1500377,2/24/2016,Multiple,Business Corporation
"Visual Data Tools, Inc.",1,0629545,4/25/2002,Current - Active,Business Corporation
Vital Plan Inc,1,1046448,5/30/2008,Current - Active,Business Corporation
VitriVax,1,2289328,10/18/2021,Current - Active,Business Corporation
Viva Biliteracy LLC,1,1580792,3/14/2017,Dissolved,Limited Liability Company
VIYB LLC,1,1665441,2/13/2018,Admin. Dissolved,Limited Liability Company
Vizma.AI,No results found,,,,
VolunteerCoin Inc.,1,2655723,6/22/2023,Current - Active,Non - Profit Corporation
Voyce,2,1462297,8/6/2015,Admin. Dissolved,Limited Liability Company
Wakaboomee,3,1806480,2/15/2019,Current - Active,Non - Profit Corporation
WalletFi,No results found,,,,
WasteLess,No results found,,,,
WatchDog,27,1999152,6/22/2020,Dissolved,Limited Liability Company
Waterless Buddy's LLC,1,1425699,2/3/2015,Dissolved,Limited Liability Company
WaterSHED,48,0884180,5/22/1987,Current - Active,Limited Partnerships
WAVE,472,0342897,4/19/1994,Admin. Dissolved,Limited Liability Company
we are,114,1237685,1/10/2012,Current - Active,Non - Profit Corporation
Wet Dog Glass LLC,1,1031071,3/4/2008,Current - Active,Limited Liability Company
"WeyeZE, LLC",1,2245976,8/6/2021,Current - Active,Limited Liability Company
Whirl,53,1588979,4/19/2017,Withdrawn,Limited Liability Company
White Coats Black Doctors Foundation,1,1551711,10/25/2016,Current - Active,Non - Profit Corporation
White Rabbit AI Inc,1,1847218,5/23/2019,Dissolved,Business Corporation
wicker&wildflower,1,2151860,3/17/2021,Dissolved,Limited Liability Company
Wildcat Nanoglo LLC,No results found,,,,
Wildweed Gardens,1,1969346,4/1/2020,Dissolved,Limited Liability Company
"Windlift, Inc",3,1093008,4/16/2009,Withdrawn,Limited Liability Company
Windsor Circle Inc,1,1186032,1/26/2011,Withdrawn,Business Corporation
WIRL,1,1754263,9/25/2018,Withdrawn,Business Corporation
Wishes Come True LLC,1,2366898,3/2/2022,Current - Active,Limited Liability Company
Wonder Crate LLC,1,1788030,1/4/2019,Current - Active,Limited Liability Company
WorkSmart Inc,20,0164217,3/12/1984,Dissolved,Business Corporation
World In Motion LLC,1,1158526,7/13/2010,Dissolved,Limited Liability Company
Xanthon Inc,5,0410864,11/18/1996,Withdrawn,Business Corporation
xDraft,1,2016261,7/24/2020,Active - Not Current,Limited Liability Company
X-In8 Biologicals Corporation,1,1080852,1/22/2009,Current - Active,Business Corporation
XinNano Materials Inc,No results found,,,,
XinRay Systems Inc,3,0999486,9/5/2007,Withdrawn by Merger,Limited Liability Company
Xintek Inc,2,1006673,10/12/2007,Withdrawn,Business Corporation
Xona Microfluidics INC,2,1431796,,Doc Tracking Canceled,Business Corporation
Xpertana LLC,1,1462136,8/5/2015,Admin. Dissolved,Limited Liability Company
"XQE, LLC",1,1869454,7/17/2019,Admin. Dissolved,Limited Liability Company
X Squared Health LLC,No results found,,,,
Yardsprout LLC,1,1207624,6/9/2011,Admin. Dissolved,Limited Liability Company
Yoomi,No results found,,,,
Yuno Inc,3,1359614,2/3/2014,Withdrawn,Business Corporation
ZALORA Group,No results found,,,,
ZapatosExpress LLC,No results found,,,,
Zenomics Inc,1,1473227,10/2/2015,Multiple,Business Corporation
ZeroPoint Dynamics Corporation,1,1416453,1/1/2020,Admin. Dissolved,Business Corporation
Zip-services Inc,1,1326732,7/8/2013,Admin. Dissolved,Business Corporation
ZROverse,No results found,,,,
,1342,0423319,4/7/1997,Multiple,Business Corporation
AI project - Startup metrics,No results found,,,,
"Copyright (c) 2000-2024 salesforce.com, inc. All rights reserved.",No results found,,,,
Confidential Information - Do Not Distribute,No results found,,,,
"Generated By: Cindy Reifsnider 10/16/2024, 1:38 PM",No results found,,,,
UNC Chapel Hill - Innovate Carolina,No results found,,,,
